ShowName,SeasonNo,EpisodeNo,EpisodeName
Family Guy,20,4,80's Guy
Family Guy,20,5,Brief Encounter
Family Guy,20,6,Cootie & The Blowhard
Family Guy,20,7,Peterschmidt Manor
Family Guy,20,8,The Birthday Bootlegger
Family Guy,20,9,The Fatman Always Rings Twice
Family Guy,20,10,Christmas Crime
Family Guy,20,11,Mister Act
Family Guy,20,12,The Lois Quagmire
Family Guy,20,13,Lawyer Guy
Family Guy,20,14,HBO-No
Family Guy,20,15,Hard Boiled Meg
Family Guy,20,16,Prescription Heroine
Family Guy,20,17,All About Alana
Family Guy,20,18,"Girlfriend, Eh?"
Family Guy,20,19,First Blood
Family Guy,20,20,Jersey Bore
Family Guy,21,1,Oscars Guy
Family Guy,21,2,Bend or Blockbuster
Family Guy,21,3,A Wife-Changing Experience
Family Guy,21,4,The Munchurian Candidate
Family Guy,21,5,Unzipped Code
Family Guy,21,6,Happy Holo-ween
Family Guy,21,7,The Stewaway
Family Guy,21,8,Get Stewie
Family Guy,21,9,Carny Knowledge
Family Guy,21,10,The Candidate
Family Guy,21,11,Love Story Guy
Family Guy,21,12,Old West
Family Guy,21,13,Single White Dad
Family Guy,21,14,White Meg Can't Jump
Family Guy,21,15,Adoptation
Family Guy,21,16,The Bird Reich
Family Guy,21,17,A Bottle Episode
Family Guy,21,18,Vat Man and Rob 'Em
Family Guy,21,19,From Russia with Love
Family Guy,21,20,Adult Education
Family Guy,22,1,Fertilized Megg
Family Guy,22,2,Supermarket Pete
Family Guy,22,3,A 'Stache from the Past
Family Guy,22,4,Old World Harm
Family Guy,22,5,"Baby, It's Cold Inside"
Family Guy,22,6,Boston Stewie
Family Guy,22,7,Snap(ple) Decision
Family Guy,22,8,Baking Sad
Family Guy,22,9,The Return of the King (of Queens)
Family Guy,22,10,Cabin Pressure
Family Guy,22,11,Teacher's Heavy Pet
Family Guy,22,12,Take This Job and Love It
Family Guy,22,13,Lifeguard Meg
Family Guy,22,14,Fat Actor
Family Guy,22,15,Faith No More
